timestamp,pred_A,pred_B,selected_path,bias,confidence
1776783653.641138,0.500000,0.500000,path_a,0.0500,0.000000
1776783658.641647,0.000000,0.000000,path_a,0.0500,0.000000
1776783663.643188,0.000000,0.000000,path_a,0.0500,0.000000
1776783668.648582,0.052559,0.051988,path_a,0.0500,0.001141
1776783673.653752,0.053967,0.052905,path_a,0.0500,0.002123
1776783678.659383,0.054331,0.053132,path_a,0.0500,0.002399
1776783683.664597,0.054331,0.053133,path_a,0.0500,0.002396
1776783688.668890,0.122258,0.053138,path_b,0.0500,0.138240
1776783693.675591,0.108707,0.090016,path_a,0.0500,0.037381
1776783698.685742,0.191195,0.194290,path_a,0.0500,0.006190
1776783703.689782,0.813311,0.091567,path_b,0.0500,1.000000
1776783708.693674,0.109137,0.100210,path_a,0.0500,0.017854
1776783713.697887,0.128292,0.099089,path_a,0.0500,0.058408
1776783718.702577,0.560651,0.095106,path_b,0.0500,0.931092
1776783723.707027,0.567058,0.114623,path_b,0.0500,0.904871
1776783728.717052,0.511136,0.698983,path_a,0.0500,0.375694
1776783733.724275,0.852274,0.133049,path_b,0.0500,1.000000
1776783738.728935,0.716112,0.652311,path_b,0.0500,0.127602
1776783743.733315,0.200997,0.429641,path_a,0.0500,0.457288
1776783748.737793,0.139239,0.220833,path_a,0.0500,0.163188
1776783753.741848,0.125349,0.109204,path_a,0.0500,0.032289
1776783758.745654,0.051225,0.055324,path_a,0.0500,0.008198
1776783763.751774,0.051364,0.055171,path_a,0.0500,0.007612
1776783768.755845,0.051457,0.055075,path_a,0.0500,0.007236
1776783773.759754,0.051598,0.055029,path_a,0.0500,0.006863
1776783778.761798,0.051695,0.054989,path_a,0.0500,0.006588
1776783783.764006,0.051695,0.054989,path_a,0.0500,0.006588
1776783788.766235,0.051695,0.054989,path_a,0.0500,0.006588
1776783793.768112,0.051695,0.054989,path_a,0.0500,0.006588
1776783798.769935,0.051695,0.054989,path_a,0.0500,0.006588
1776783803.772276,0.051695,0.054989,path_a,0.0500,0.006588
1776783808.777100,0.051695,0.054989,path_a,0.0500,0.006588
1776783813.779571,0.051695,0.054989,path_a,0.0500,0.006588
1776783818.781922,0.051695,0.054989,path_a,0.0500,0.006588
1776783823.784572,0.051695,0.054989,path_a,0.0500,0.006588
1776783828.787811,0.051695,0.054989,path_a,0.0500,0.006588
1776783833.789613,0.051695,0.054989,path_a,0.0500,0.006588
1776783838.792977,0.051695,0.054989,path_a,0.0500,0.006588
1776783843.795630,0.051695,0.054989,path_a,0.0500,0.006588
1776783848.799048,0.051695,0.054989,path_a,0.0500,0.006588
1776783853.801729,0.051695,0.054989,path_a,0.0500,0.006588
1776783858.803305,0.051695,0.054989,path_a,0.0500,0.006588
1776783863.804833,0.051695,0.054989,path_a,0.0500,0.006588
1776783868.807280,0.051695,0.054989,path_a,0.0500,0.006588
1776783873.809322,0.051695,0.054989,path_a,0.0500,0.006588
1776783878.811204,0.051695,0.054989,path_a,0.0500,0.006588
1776783883.812902,0.051695,0.054989,path_a,0.0500,0.006588
1776783888.814816,0.051695,0.054989,path_a,0.0500,0.006588
1776783893.817248,0.051695,0.054989,path_a,0.0500,0.006588
1776783898.819620,0.051695,0.054989,path_a,0.0500,0.006588
1776783903.822692,0.051695,0.054989,path_a,0.0500,0.006588
1776783908.824670,0.051695,0.054989,path_a,0.0500,0.006588
1776783913.826891,0.051695,0.054989,path_a,0.0500,0.006588
1776783918.829120,0.051695,0.054989,path_a,0.0500,0.006588
1776783923.830639,0.051695,0.054989,path_a,0.0500,0.006588
