timestamp,pred_A,pred_B,selected_path,bias,confidence
1776783488.146924,0.500000,0.500000,path_a,0.0500,0.000000
1776783493.149569,0.009693,0.006529,path_a,0.0500,0.006328
1776783498.152353,0.009317,0.006111,path_a,0.0500,0.006412
1776783503.157964,0.054314,0.053129,path_a,0.0500,0.002370
1776783508.161816,0.054335,0.053138,path_a,0.0500,0.002393
1776783513.167035,0.092965,0.053174,path_a,0.0500,0.079581
1776783518.170616,0.173644,0.053194,path_b,0.0500,0.240899
1776783523.177058,0.113649,0.066122,path_a,0.0500,0.095056
1776783528.185786,0.231744,0.076250,path_b,0.0500,0.310989
1776783533.193249,0.124761,0.721075,path_a,0.0500,1.000000
1776783538.196989,0.427444,0.134636,path_b,0.0500,0.585615
1776783543.201080,0.125210,0.066352,path_b,0.0500,0.117715
1776783548.206777,0.075746,0.630358,path_a,0.0500,1.000000
1776783553.215083,0.869104,0.117029,path_b,0.0500,1.000000
1776783558.219269,0.115365,0.710276,path_a,0.0500,1.000000
1776783563.226390,0.720222,0.109793,path_b,0.0500,1.000000
1776783568.232003,0.116661,0.729728,path_a,0.0500,1.000000
1776783573.239036,0.805105,0.110660,path_b,0.0500,1.000000
1776783578.244147,0.113998,0.087553,path_a,0.0500,0.052889
1776783583.251431,0.070071,0.074714,path_a,0.0500,0.009286
1776783588.255418,0.051244,0.055333,path_a,0.0500,0.008178
1776783593.259104,0.051367,0.055093,path_a,0.0500,0.007452
1776783598.264739,0.051487,0.055010,path_a,0.0500,0.007045
1776783603.316123,0.051578,0.054869,path_a,0.0500,0.006582
1776783608.319578,0.051678,0.054860,path_a,0.0500,0.006364
1776783613.321252,0.051766,0.054830,path_a,0.0500,0.006128
1776783618.331387,0.051766,0.054830,path_a,0.0500,0.006128
